     #data, run, bin, learner,            goal,  a, b, c, d,   acc,    pd,   pf,  prec,   bal
 iris.arff,   3,  10,      nb, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,  10,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,  10,     j48,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,  10,     j48, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,  10,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   1,      nb,  Iris-virginica, 10, 0, 1, 3,  92.9, 100.0,  9.1,  75.0,  93.6
 iris.arff,   3,   1,      nb,     Iris-setosa,  6, 0, 0, 8, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   1,     j48,  Iris-virginica, 10, 0, 1, 3,  92.9, 100.0,  9.1,  75.0,  93.6
 iris.arff,   2,   9,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   9,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   8,      nb,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   8,      nb, Iris-versicolor, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   8,      nb,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   8,     j48,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   8,     j48, Iris-versicolor, 11, 0, 1, 3,  93.3, 100.0,  8.3,  75.0,  94.1
 iris.arff,   2,   7,      nb,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   7,     j48,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   7,     j48, Iris-versicolor, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   7,     j48,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   6,      nb,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   6,      nb, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   6,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   6,     j48,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   6,     j48, Iris-versicolor,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   6,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   5,      nb,  Iris-virginica,  9, 0, 1, 5,  93.3, 100.0, 10.0,  83.3,  92.9
 iris.arff,   2,   5,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   5,     j48,  Iris-virginica,  8, 0, 2, 5,  86.7, 100.0, 20.0,  71.4,  85.9
 iris.arff,   2,   5,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   4,      nb,  Iris-virginica,  9, 0, 1, 5,  93.3, 100.0, 10.0,  83.3,  92.9
 iris.arff,   2,   4,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   4,     j48,  Iris-virginica,  9, 0, 1, 5,  93.3, 100.0, 10.0,  83.3,  92.9
 iris.arff,   2,   4,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   3,      nb,  Iris-virginica, 11, 0, 2, 2,  86.7, 100.0, 15.4,  50.0,  89.1
 iris.arff,   2,   3,      nb,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   3,     j48,  Iris-virginica, 11, 0, 2, 2,  86.7, 100.0, 15.4,  50.0,  89.1
 iris.arff,   2,   3,     j48,     Iris-setosa,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   2,      nb,  Iris-virginica,  8, 0, 1, 6,  93.3, 100.0, 11.1,  85.7,  92.1
 iris.arff,   2,   2,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   2,   2,     j48,  Iris-virginica,  8, 0, 1, 6,  93.3, 100.0, 11.1,  85.7,  92.1
